1;20200203;20200205;1200;1200;false;1;2;1;1023456789;4536000.0
2;20231111;20231112;1200;1300;false;1;3;9;1014903362;432000.0
3;20231015;20231015;2100;2147;false;1;3;9;1014903362;216000.0
4;20231015;20231016;2100;2358;false;3;3;9;1034567890;216000.0
6;20231113;20231115;1200;1757;false;2;2;1;1023456789;48000.0
7;20231113;20231130;1500;1205;false;2;2;5;1023456789;777600.0
8;20231115;20231117;736;700;false;1;1;7;1023456789;300000.0
9;20231115;20231118;1605;1105;false;2;3;6;1023456789;567000.0
10;20231115;20231117;700;800;false;2;1;3;1023456789;147000.0
11;20231116;20231121;1100;1100;true;2;1;3;1023456789;367500.0
12;20231130;20231130;700;1318;false;2;2;3;1023456789;210000.0
